Request_Id,Item_Index,Item_Id,Item_Name,Qty,Returned_Qty,Status
4,1,2,907 Titrando,1,1,Returned
3,1,2,907 Titrando,1,0,Cancelled
1,1,2,907 Titrando,1,0,Cancelled
